employee_name,user_id,O,C,E,A,N
Graham Wade Gordon,GWG0497,12,35,22,24,28
Sebastian Leonard Hobbs,SLH0900,40,45,24,36,24
Bert Dieter Gill,BDG2683,44,30,23,42,28
Melodie Denise Sykes,MDS0680,47,27,25,36,36
Rebekah Ella Frank,REF3266,23,15,21,18,32
Brianna Tatyana Gross,BTG3468,25,30,47,20,36
Idola Kaye Lara,IKL3218,40,13,18,31,17
Holly Xerxes Lara,HXL0968,45,21,35,40,34
Montana Hannah Arnold,MHA0798,11,27,17,22,40
Damon Elton Wilkins,DEW0384,14,34,37,45,47
Kyra Zephr Randall,KZR3830,42,22,45,24,20
Idola Blossom Santiago,IBS1682,13,16,42,18,33
Sophia Bo Whitaker,SBW1672,40,44,23,35,31
Bruce Sawyer Barrera,BSB0990,34,44,13,43,37
Arthur Porter Pratt,APP3678,37,42,28,21,33
Jerome Ivor Prince,JIP0577,45,41,43,36,34
Katelyn Justina Allison,KJA0347,40,44,24,40,36
Marvin Carl Perkins,MCP0611,19,19,19,45,29
Desirae Adena Woodward,DAW0433,39,13,43,42,24
Troy Nicolas Molina,TNM0961,37,50,39,17,32
Elliott Samuel Salazar,ESS3318,36,22,40,19,28
Avye Maile Houston,AMH2170,37,18,27,19,31
Shaeleigh Celeste Christensen,SCC1866,30,17,19,39,32
Jonathan Laith Casey,JLC0216,44,45,25,38,32
Stephen Scott Wright,SSW1556,37,33,16,38,35
Ivan Eric Lester,IEL0302,37,34,38,20,28
Ella Idona Ray,EIR1046,10,45,18,17,23
Geoffrey Rahim Griffin,GRG3005,41,39,29,21,31
Gretchen Yvonne Snider,GYS2461,23,19,27,19,15
Callie Fatima Baxter,CFB0063,42,36,14,36,38
Jerry Buckminster Jordan,JBJ2032,49,38,17,46,27
Byron Drake Hughes,BDH1265,40,46,16,19,30
Haley Gemma Holcomb,HGH0727,40,17,41,32,33
Brandon Nehru Ellison,BNE1140,18,13,41,10,29
Cassidy Eliana Branch,CEB3714,10,38,16,29,35
Vincent Marsden Norman,VMN0743,30,42,28,13,41
Odette Kay Mueller,OKM1092,11,34,38,15,27
Omar Cameron Stephens,OCS1541,42,25,46,26,29
Shelby Isabelle Saunders,SIS0042,27,43,15,42,34
Callie Xyla Merrill,CXM3019,34,31,15,35,23
Mira Gemma Benton,MGB1235,42,11,12,17,36
Hu Ira Shepard,HIS1394,36,43,39,17,27
Porter Rajah Koch,PRK2333,43,45,44,24,29
Fay Kimberly Wilder,FKW1243,35,19,12,30,25
Wylie Robert Stephens,WRS0198,41,41,19,37,30
Giacomo Aaron Nolan,GAN1584,43,41,40,32,32
Hyatt Reese Dean,HRD3637,19,36,44,10,26
Kim Remedios Allen,KRA1047,20,13,21,34,28
Amelia Ashely Best,AAB3987,19,31,39,40,23
Elton Jonas Williamson,EJW0884,46,20,32,26,31
Nathaniel James Stokes,NJS1593,35,46,44,30,33
Lewis Roth Preston,LRP2591,36,37,17,12,34
Raymond Caleb Whitney,RCW2838,41,40,10,26,31
Clinton Gil Grimes,CGG2688,38,30,46,20,38
Natalie Lynn Hicks,NLH2779,34,15,33,49,23
Buffy Gisela Hartman,BGH2610,41,18,35,35,30
